name,id,price,sizes,category,availability
Handball Spezial Schuh,BD7633,110,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 15}, {""size"": ""48 2/3"", ""availability"": 15}, {""size"": ""49 1/3"", ""availability"": 14}]"
SL 72 OG Schuh,IE3425,100,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 0}, {""size"": ""36"", ""availability"": 0}, {""size"": ""36 2/3"", ""availability"": 1}, {""size"": ""37 1/3"", ""availability"": 0}, {""size"": ""38"", ""availability"": 0}, {""size"": ""38 2/3"", ""availability"": 0}, {""size"": ""39 1/3"", ""availability"": 0}, {""size"": ""40"", ""availability"": 0}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 0}, {""size"": ""48 2/3"", ""availability"": 0}, {""size"": ""49 1/3"", ""availability"": 0}]"
Campus 00s Schuh,ID1435,120,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50', '50 2/3', '51 1/3', '52 2/3', '53 1/3', '54 2/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 15}, {""size"": ""48 2/3"", ""availability"": 15}, {""size"": ""49 1/3"", ""availability"": 15}, {""size"": ""50"", ""availability"": 0}, {""size"": ""50 2/3"", ""availability"": 0}, {""size"": ""51 1/3"", ""availability"": 0}, {""size"": ""52 2/3"", ""availability"": 0}, {""size"": ""53 1/3"", ""availability"": 0}, {""size"": ""54 2/3"", ""availability"": 0}]"
Handball Spezial Schuh,DB3021,110,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 15}, {""size"": ""48 2/3"", ""availability"": 15}, {""size"": ""49 1/3"", ""availability"": 15}]"
Samba OG Schuh,ID0478,120,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 13}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 9}, {""size"": ""43 1/3"", ""availability"": 3}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 0}, {""size"": ""46"", ""availability"": 0}, {""size"": ""46 2/3"", ""availability"": 0}, {""size"": ""47 1/3"", ""availability"": 0}, {""size"": ""48"", ""availability"": 11}, {""size"": ""48 2/3"", ""availability"": 5}, {""size"": ""49 1/3"", ""availability"": 0}]"
Samba OG Schuh,B75807,120,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50', '50 2/3', '51 1/3', '52 2/3', '53 1/3', '54 2/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 0}, {""size"": ""45 1/3"", ""availability"": 4}, {""size"": ""46"", ""availability"": 2}, {""size"": ""46 2/3"", ""availability"": 2}, {""size"": ""47 1/3"", ""availability"": 1}, {""size"": ""48"", ""availability"": 0}, {""size"": ""48 2/3"", ""availability"": 0}, {""size"": ""49 1/3"", ""availability"": 0}, {""size"": ""50"", ""availability"": 0}, {""size"": ""50 2/3"", ""availability"": 0}, {""size"": ""51 1/3"", ""availability"": 0}, {""size"": ""52 2/3"", ""availability"": 0}, {""size"": ""53 1/3"", ""availability"": 0}, {""size"": ""54 2/3"", ""availability"": 0}]"
Ultraboost 1.0 Laufschuh,HQ4199,180,"['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3', '50 2/3']",manner-sneakers,"[{""size"": ""39 1/3"", ""availability"": 11}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 1}, {""size"": ""46"", ""availability"": 7}, {""size"": ""46 2/3"", ""availability"": 13}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 15}, {""size"": ""49 1/3"", ""availability"": 0}, {""size"": ""50 2/3"", ""availability"": 0}]"
Treziod 2.0 Schuh,IH3802,80,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 0}, {""size"": ""36"", ""availability"": 1}, {""size"": ""36 2/3"", ""availability"": 2}, {""size"": ""37 1/3"", ""availability"": 0}, {""size"": ""38"", ""availability"": 1}, {""size"": ""38 2/3"", ""availability"": 1}, {""size"": ""39 1/3"", ""availability"": 4}, {""size"": ""40"", ""availability"": 14}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 8}, {""size"": ""47 1/3"", ""availability"": 0}, {""size"": ""48"", ""availability"": 1}, {""size"": ""48 2/3"", ""availability"": 0}, {""size"": ""49 1/3"", ""availability"": 0}]"
Climacool 1 Schuh,JH9989,140,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 0}, {""size"": ""36"", ""availability"": 1}, {""size"": ""36 2/3"", ""availability"": 1}, {""size"": ""37 1/3"", ""availability"": 10}, {""size"": ""38"", ""availability"": 14}, {""size"": ""38 2/3"", ""availability"": 13}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 10}, {""size"": ""48"", ""availability"": 3}, {""size"": ""48 2/3"", ""availability"": 0}, {""size"": ""49 1/3"", ""availability"": 0}]"
Handball Spezial Schuh,IF7086,110,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 14}, {""size"": ""48 2/3"", ""availability"": 0}, {""size"": ""49 1/3"", ""availability"": 0}]"
